[None, array([90., 80., 70.], dtype=float32), array([0.00316052, 0.00316006, 0.00315938], dtype=float32), 0.0, array(85., dtype=float32), 85.0]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9773599 ,  0.28743374, -1.3185338 ], dtype=float32), array([0.5604257 , 0.36716494, 0.07240942], dtype=float32), 84.880165, array(85., dtype=float32), 0.1198349]
[None, array([90., 80., 70.], dtype=float32), array([ 0.800774  ,  0.45544803, -1.1352532 ], dtype=float32), array([0.60324574, 0.3286124 , 0.06814192], dtype=float32), 85.351036, array(85., dtype=float32), 0.35103607]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9828936,  0.2883506, -1.3326406], dtype=float32), array([0.56214803, 0.3667075 , 0.07114454], dtype=float32), 84.91004, array(85., dtype=float32), 0.08995819]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8066215 ,  0.45676017, -1.1506264 ], dtype=float32), array([0.6049845 , 0.3280515 , 0.06696396], dtype=float32), 85.38021, array(85., dtype=float32), 0.38021088]
[None, array([90., 80., 70.], dtype=float32), array([ 0.88880587,  0.35551643, -1.2033255 ], dtype=float32), array([0.51920134, 0.3972512 , 0.08354748], dtype=float32), 84.35654, array(85., dtype=float32), 0.64346313]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9701486 ,  0.25498044, -1.2556798 ], dtype=float32), array([0.562678  , 0.35862184, 0.07870015], dtype=float32), 84.839775, array(85., dtype=float32), 0.16022491]
[None, array([90., 80., 70.], dtype=float32), array([ 0.79187274,  0.41920918, -1.0628312 ], dtype=float32), array([0.6050816, 0.3212744, 0.073644 ], dtype=float32), 85.31438, array(85., dtype=float32), 0.31437683]
[None, array([90., 80., 70.], dtype=float32), array([ 0.97576874,  0.25604904, -1.269338  ], dtype=float32), array([0.56441826, 0.35850686, 0.07707491], dtype=float32), 84.873436, array(85., dtype=float32), 0.12656403]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7983475 ,  0.42195886, -1.0814037 ], dtype=float32), array([0.6068882 , 0.3208214 , 0.07229041], dtype=float32), 85.34597, array(85., dtype=float32), 0.34597015]
[None, array([90., 80., 70.], dtype=float32), array([ 0.98154616,  0.2569599 , -1.2833434 ], dtype=float32), array([0.56622595, 0.35817903, 0.07559499], dtype=float32), 84.9063, array(85., dtype=float32), 0.093696594]
[None, array([90., 80., 70.], dtype=float32), array([ 0.80471706,  0.42393765, -1.0984536 ], dtype=float32), array([0.60874075, 0.32027137, 0.07098784], dtype=float32), 85.377525, array(85., dtype=float32), 0.37752533]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9874787,  0.2576686, -1.2975779], dtype=float32), array([0.56811607, 0.3576781 , 0.07420589], dtype=float32), 84.9391, array(85., dtype=float32), 0.060897827]
[None, array([90., 80., 70.], dtype=float32), array([ 0.81108034,  0.42531168, -1.1146343 ], dtype=float32), array([0.6106549 , 0.31962386, 0.06972125], dtype=float32), 85.40933, array(85., dtype=float32), 0.40933228]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8930204 ,  0.32378033, -1.1678754 ], dtype=float32), array([0.5250934 , 0.38762143, 0.0872852 ], dtype=float32), 84.37808, array(85., dtype=float32), 0.6219177]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9739649 ,  0.22308525, -1.2206395 ], dtype=float32), array([0.5684337 , 0.34949157, 0.08207475], dtype=float32), 84.863594, array(85., dtype=float32), 0.13640594]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7955551 ,  0.38654462, -1.0274782 ], dtype=float32), array([0.61053747, 0.31277257, 0.07668994], dtype=float32), 85.33847, array(85., dtype=float32), 0.33847046]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9799877 ,  0.22400519, -1.2344605 ], dtype=float32), array([0.5703422 , 0.3493227 , 0.08033508], dtype=float32), 84.90007, array(85., dtype=float32), 0.09992981]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8025064,  0.3893127, -1.046436 ], dtype=float32), array([0.6125108, 0.3122413, 0.0752479], dtype=float32), 85.372635, array(85., dtype=float32), 0.3726349]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9861793 ,  0.22475518, -1.2486475 ], dtype=float32), array([0.5723205 , 0.3489244 , 0.07875505], dtype=float32), 84.93565, array(85., dtype=float32), 0.06434631]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8093401 ,  0.39123827, -1.0637993 ], dtype=float32), array([0.6145317 , 0.3116073 , 0.07386106], dtype=float32), 85.40671, array(85., dtype=float32), 0.40670776]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9925382 ,  0.22528863, -1.2630751 ], dtype=float32), array([0.5743862 , 0.34833962, 0.07727418], dtype=float32), 84.971115, array(85., dtype=float32), 0.028884888]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8161657 ,  0.39250427, -1.0802566 ], dtype=float32), array([0.6166171 , 0.31087002, 0.07251289], dtype=float32), 85.44105, array(85., dtype=float32), 0.44104767]
[None, array([90., 80., 70.], dtype=float32), array([ 0.73806864,  0.49952626, -1.0415535 ], dtype=float32), array([0.576547  , 0.34759456, 0.07585835], dtype=float32), 85.006874, array(85., dtype=float32), 0.0068740845]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9214786 ,  0.33332044, -1.2405992 ], dtype=float32), array([0.5333473 , 0.3878468 , 0.07880582], dtype=float32), 84.54542, array(85., dtype=float32), 0.4545822]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7422021 ,  0.50390494, -1.0559667 ], dtype=float32), array([0.5770152 , 0.34832203, 0.07466275], dtype=float32), 85.02353, array(85., dtype=float32), 0.023529053]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9247344 ,  0.33769837, -1.2532333 ], dtype=float32), array([0.53399986, 0.38845533, 0.07754482], dtype=float32), 84.56455, array(85., dtype=float32), 0.4354477]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7461755 ,  0.50805044, -1.0698524 ], dtype=float32), array([0.5775515 , 0.3489521 , 0.07349633], dtype=float32), 85.04054, array(85., dtype=float32), 0.040542603]
[None, array([90., 80., 70.], dtype=float32), array([ 0.92812985,  0.34177864, -1.26599   ], dtype=float32), array([0.5346652 , 0.38900733, 0.07632742], dtype=float32), 84.583374, array(85., dtype=float32), 0.41662598]
[None, array([90., 80., 70.], dtype=float32), array([ 0.75006837,  0.5119798 , -1.0834271 ], dtype=float32), array([0.57814854, 0.34949777, 0.07235375], dtype=float32), 85.05795, array(85., dtype=float32), 0.05795288]
[None, array([90., 80., 70.], dtype=float32), array([ 0.93163794,  0.34559736, -1.2788452 ], dtype=float32), array([0.53535616, 0.38950092, 0.07514285], dtype=float32), 84.602135, array(85., dtype=float32), 0.3978653]
[None, array([90., 80., 70.], dtype=float32), array([ 0.75393057,  0.5157006 , -1.0968261 ], dtype=float32), array([0.5788018 , 0.3499668 , 0.07123142], dtype=float32), 85.07571, array(85., dtype=float32), 0.07570648]
[None, array([90., 80., 70.], dtype=float32), array([ 0.935241,  0.349176, -1.291786], dtype=float32), array([0.5360813 , 0.38993418, 0.07398447], dtype=float32), 84.620964, array(85., dtype=float32), 0.37903595]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7577962,  0.519217 , -1.110135 ], dtype=float32), array([0.579509  , 0.35036394, 0.07012702], dtype=float32), 85.09382, array(85., dtype=float32), 0.093818665]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9389292 ,  0.35252827, -1.3048047 ], dtype=float32), array([0.5368469 , 0.39030522, 0.0728479 ], dtype=float32), 84.639984, array(85., dtype=float32), 0.36001587]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7616892,  0.5225315, -1.123409 ], dtype=float32), array([0.5802693 , 0.35069185, 0.06903889], dtype=float32), 85.11231, array(85., dtype=float32), 0.11231232]
[None, array([90., 80., 70.], dtype=float32), array([ 0.94269776,  0.35566247, -1.3178978 ], dtype=float32), array([0.53765744, 0.39061219, 0.07173032], dtype=float32), 84.65926, array(85., dtype=float32), 0.3407364]
[None, array([90., 80., 70.], dtype=float32), array([ 0.765624  ,  0.52564186, -1.1366854 ], dtype=float32), array([0.5810824 , 0.35095167, 0.06796589], dtype=float32), 85.131165, array(85., dtype=float32), 0.13116455]
[None, array([90., 80., 70.], dtype=float32), array([ 0.94654393,  0.35858268, -1.3310636 ], dtype=float32), array([0.5385167 , 0.39085346, 0.0706298 ], dtype=float32), 84.67886, array(85., dtype=float32), 0.32113647]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7696135 ,  0.52854806, -1.1499882 ], dtype=float32), array([0.58194906, 0.35114384, 0.06690716], dtype=float32), 85.15042, array(85., dtype=float32), 0.15042114]
[None, array([90., 80., 70.], dtype=float32), array([ 0.950469  ,  0.36129257, -1.3443015 ], dtype=float32), array([0.53942764, 0.3910274 , 0.06954495], dtype=float32), 84.69883, array(85., dtype=float32), 0.30117035]
[None, array([90., 80., 70.], dtype=float32), array([ 0.77366644,  0.5312483 , -1.1633339 ], dtype=float32), array([0.5828699 , 0.35126808, 0.06586204], dtype=float32), 85.17008, array(85., dtype=float32), 0.17008209]
[None, array([90., 80., 70.], dtype=float32), array([ 0.954474  ,  0.36379275, -1.3576121 ], dtype=float32), array([0.5403927 , 0.39113244, 0.06847481], dtype=float32), 84.71917, array(85., dtype=float32), 0.28083038]
[None, array([90., 80., 70.], dtype=float32), array([ 0.77779126,  0.5337417 , -1.1767342 ], dtype=float32), array([0.58384615, 0.3513239 , 0.06482991], dtype=float32), 85.19016, array(85., dtype=float32), 0.19016266]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9585618,  0.3660832, -1.3709966], dtype=float32), array([0.5414144 , 0.3911671 , 0.06741852], dtype=float32), 84.73996, array(85., dtype=float32), 0.26004028]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7819934 ,  0.53602517, -1.1901976 ], dtype=float32), array([0.5848793 , 0.35131028, 0.06381036], dtype=float32), 85.210686, array(85., dtype=float32), 0.21068573]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9627349 ,  0.36816257, -1.3844566 ], dtype=float32), array([0.5424948 , 0.39112967, 0.06637558], dtype=float32), 84.7612, array(85., dtype=float32), 0.23880005]
[None, array([90., 80., 70.], dtype=float32), array([ 0.78627867,  0.5380966 , -1.2037306 ], dtype=float32), array([0.58597076, 0.3512263 , 0.06280297], dtype=float32), 85.23168, array(85., dtype=float32), 0.23168182]
[None, array([90., 80., 70.], dtype=float32), array([ 0.96699727,  0.37002963, -1.3979942 ], dtype=float32), array([0.5436359 , 0.39101863, 0.06534544], dtype=float32), 84.782906, array(85., dtype=float32), 0.21709442]
[None, array([90., 80., 70.], dtype=float32), array([ 0.79065263,  0.53995365, -1.2173382 ], dtype=float32), array([0.58712214, 0.35107055, 0.06180733], dtype=float32), 85.25315, array(85., dtype=float32), 0.25315094]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8731674 ,  0.43956834, -1.2687234 ], dtype=float32), array([0.5007454 , 0.42280594, 0.07644862], dtype=float32), 84.242966, array(85., dtype=float32), 0.7570343]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9553205 ,  0.33936346, -1.3200871 ], dtype=float32), array([0.5443595 , 0.38326323, 0.07237732], dtype=float32), 84.719826, array(85., dtype=float32), 0.28017426]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7769414 ,  0.50524884, -1.1273499 ], dtype=float32), array([0.5874506 , 0.34452587, 0.06802349], dtype=float32), 85.19427, array(85., dtype=float32), 0.19426727]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9596121,  0.3413462, -1.3330686], dtype=float32), array([0.54549813, 0.38351962, 0.07098226], dtype=float32), 84.74516, array(85., dtype=float32), 0.25483704]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7819667 ,  0.50862134, -1.1448759 ], dtype=float32), array([0.58866006, 0.344482  , 0.06685795], dtype=float32), 85.21802, array(85., dtype=float32), 0.21801758]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9640225 ,  0.34321707, -1.3463602 ], dtype=float32), array([0.5466869 , 0.38360432, 0.06970882], dtype=float32), 84.76978, array(85., dtype=float32), 0.23021698]
[None, array([90., 80., 70.], dtype=float32), array([ 0.78688014,  0.5113779 , -1.1609842 ], dtype=float32), array([0.58990234, 0.34436122, 0.06573641], dtype=float32), 85.24165, array(85., dtype=float32), 0.24165344]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9685462 ,  0.34493783, -1.359851  ], dtype=float32), array([0.54793656, 0.3835511 , 0.06851248], dtype=float32), 84.79425, array(85., dtype=float32), 0.20574951]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7917645,  0.5136566, -1.1762689], dtype=float32), array([0.5911899, 0.3441636, 0.0646465], dtype=float32), 85.265434, array(85., dtype=float32), 0.26543427]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9731821 ,  0.34648007, -1.3734903 ], dtype=float32), array([0.5492522 , 0.38338003, 0.06736778], dtype=float32), 84.81885, array(85., dtype=float32), 0.18115234]
[None, array([90., 80., 70.], dtype=float32), array([ 0.79667294,  0.51554537, -1.1910766 ], dtype=float32), array([0.59253144, 0.34388798, 0.06358054], dtype=float32), 85.289505, array(85., dtype=float32), 0.289505]
[None, array([90., 80., 70.], dtype=float32), array([ 0.87912923,  0.41508174, -1.2431479 ], dtype=float32), array([0.5062938 , 0.4147326 , 0.07897372], dtype=float32), 84.27321, array(85., dtype=float32), 0.7267914]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9610637 ,  0.31489754, -1.2950308 ], dtype=float32), array([0.54986066, 0.375527  , 0.07461245], dtype=float32), 84.75249, array(85., dtype=float32), 0.24751282]
[None, array([90., 80., 70.], dtype=float32), array([ 0.78259337,  0.48004514, -1.1015123 ], dtype=float32), array([0.5927432 , 0.33725294, 0.07000386], dtype=float32), 85.227394, array(85., dtype=float32), 0.2273941]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9657505,  0.3166207, -1.3081664], dtype=float32), array([0.55117863, 0.37569502, 0.07312634], dtype=float32), 84.78052, array(85., dtype=float32), 0.21948242]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7880882,  0.4833302, -1.1195974], dtype=float32), array([0.5941342 , 0.33709207, 0.06877377], dtype=float32), 85.25361, array(85., dtype=float32), 0.2536087]
[None, array([90., 80., 70.], dtype=float32), array([ 0.97056866,  0.31822297, -1.3216455 ], dtype=float32), array([0.5525504 , 0.37567255, 0.07177713], dtype=float32), 84.80774, array(85., dtype=float32), 0.19226074]
[None, array([90., 80., 70.], dtype=float32), array([ 0.79345876,  0.48592767, -1.1361313 ], dtype=float32), array([0.5955604 , 0.33684766, 0.06759197], dtype=float32), 85.279686, array(85., dtype=float32), 0.27968597]
[None, array([90., 80., 70.], dtype=float32), array([ 0.97551346,  0.31966376, -1.3353424 ], dtype=float32), array([0.5539889 , 0.37549743, 0.07051364], dtype=float32), 84.83475, array(85., dtype=float32), 0.16525269]
[None, array([90., 80., 70.], dtype=float32), array([ 0.79880005,  0.48799512, -1.1517699 ], dtype=float32), array([0.59703577, 0.33651987, 0.06644437], dtype=float32), 85.305916, array(85., dtype=float32), 0.30591583]
[None, array([90., 80., 70.], dtype=float32), array([ 0.98058414,  0.32091093, -1.3492016 ], dtype=float32), array([0.55550057, 0.37519246, 0.06930694], dtype=float32), 84.86194, array(85., dtype=float32), 0.13806152]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8041692 ,  0.48962864, -1.1668934 ], dtype=float32), array([0.5985702 , 0.33610728, 0.06532245], dtype=float32), 85.33247, array(85., dtype=float32), 0.33247375]
[None, array([90., 80., 70.], dtype=float32), array([ 0.88648814,  0.38878566, -1.2192887 ], dtype=float32), array([0.5125371 , 0.40614146, 0.08132151], dtype=float32), 84.312164, array(85., dtype=float32), 0.6878357]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9681294 ,  0.28842434, -1.2714163 ], dtype=float32), array([0.5560647 , 0.36721706, 0.0767182 ], dtype=float32), 84.79346, array(85., dtype=float32), 0.20654297]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7897355 ,  0.45310217, -1.0781723 ], dtype=float32), array([0.5987199 , 0.32939443, 0.07188573], dtype=float32), 85.26834, array(85., dtype=float32), 0.26834106]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9732679,  0.2898426, -1.2847996], dtype=float32), array([0.55758584, 0.3672522 , 0.07516198], dtype=float32), 84.824234, array(85., dtype=float32), 0.17576599]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7957071 ,  0.45614833, -1.0965068 ], dtype=float32), array([0.60031176, 0.32909378, 0.07059444], dtype=float32), 85.29717, array(85., dtype=float32), 0.29717255]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9785501 ,  0.29112235, -1.2985296 ], dtype=float32), array([0.55916727, 0.36708516, 0.07374756], dtype=float32), 84.854195, array(85., dtype=float32), 0.14580536]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8015624 ,  0.45846412, -1.1132972 ], dtype=float32), array([0.601944  , 0.3287029 , 0.06935299], dtype=float32), 85.3259, array(85., dtype=float32), 0.32589722]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9839725,  0.292221 , -1.3124837], dtype=float32), array([0.5608232, 0.366755 , 0.0724218], dtype=float32), 84.88401, array(85., dtype=float32), 0.115989685]
[None, array([90., 80., 70.], dtype=float32), array([ 0.80739933,  0.46021244, -1.1292012 ], dtype=float32), array([0.6036316 , 0.3282216 , 0.06814675], dtype=float32), 85.35484, array(85., dtype=float32), 0.35484314]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9895356,  0.2931052, -1.3266078], dtype=float32), array([0.56256026, 0.36628506, 0.07115462], dtype=float32), 84.91405, array(85., dtype=float32), 0.08595276]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8132775 ,  0.46149403, -1.1445998 ], dtype=float32), array([0.6053849 , 0.3276483 , 0.06696682], dtype=float32), 85.38418, array(85., dtype=float32), 0.38417816]
[None, array([90., 80., 70.], dtype=float32), array([ 0.89546704,  0.36024114, -1.1973194 ], dtype=float32), array([0.51961905, 0.3968176 , 0.08356332], dtype=float32), 84.36056, array(85., dtype=float32), 0.63944244]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9768046 ,  0.25971064, -1.2496884 ], dtype=float32), array([0.563096  , 0.3581972 , 0.07870676], dtype=float32), 84.84389, array(85., dtype=float32), 0.15611267]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7985461 ,  0.42391896, -1.0568591 ], dtype=float32), array([0.605487  , 0.32086983, 0.07364318], dtype=float32), 85.318436, array(85., dtype=float32), 0.31843567]
[None, array([90., 80., 70.], dtype=float32), array([ 0.98245656,  0.26074475, -1.2633665 ], dtype=float32), array([0.56485194, 0.3580687 , 0.07707936], dtype=float32), 84.87772, array(85., dtype=float32), 0.122276306]
[None, array([90., 80., 70.], dtype=float32), array([ 0.80505323,  0.4266356 , -1.0754522 ], dtype=float32), array([0.6073088 , 0.3204037 , 0.07228751], dtype=float32), 85.35021, array(85., dtype=float32), 0.3502121]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9882664 ,  0.26161945, -1.277392  ], dtype=float32), array([0.56667584, 0.35772672, 0.07559738], dtype=float32), 84.910774, array(85., dtype=float32), 0.08922577]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8114556 ,  0.42857864, -1.0925229 ], dtype=float32), array([0.60917705, 0.31984   , 0.0709829 ], dtype=float32), 85.381935, array(85., dtype=float32), 0.38193512]
[None, array([90., 80., 70.], dtype=float32), array([ 0.99423224,  0.26229066, -1.2916471 ], dtype=float32), array([0.5685827 , 0.35721108, 0.07420623], dtype=float32), 84.94376, array(85., dtype=float32), 0.056236267]
[None, array([90., 80., 70.], dtype=float32), array([ 0.8178533 ,  0.42991555, -1.1087248 ], dtype=float32), array([0.6111073 , 0.31917843, 0.06971426], dtype=float32), 85.41393, array(85., dtype=float32), 0.4139328]
[None, array([90., 80., 70.], dtype=float32), array([ 0.899799 ,  0.3283729, -1.1619864], dtype=float32), array([0.52556765, 0.38714293, 0.08728942], dtype=float32), 84.38278, array(85., dtype=float32), 0.617218]
[None, array([90., 80., 70.], dtype=float32), array([ 0.98073816,  0.22768429, -1.2147645 ], dtype=float32), array([0.5689076 , 0.34902313, 0.08206929], dtype=float32), 84.868385, array(85., dtype=float32), 0.13161469]
[None, array([90., 80., 70.], dtype=float32), array([ 0.80235046,  0.3911243 , -1.0216334 ], dtype=float32), array([0.6109964 , 0.3123267 , 0.07667691], dtype=float32), 85.3432, array(85., dtype=float32), 0.34320068]
[None, array([90., 80., 70.], dtype=float32), array([ 0.986797 ,  0.2285639, -1.2286087], dtype=float32), array([0.5708339 , 0.34883845, 0.08032754], dtype=float32), 84.90505, array(85., dtype=float32), 0.094947815]
[None, array([90., 80., 70.], dtype=float32), array([ 0.80933774,  0.39385217, -1.040612  ], dtype=float32), array([0.6129869 , 0.31178042, 0.07523265], dtype=float32), 85.37755, array(85., dtype=float32), 0.37754822]
[None, array([90., 80., 70.], dtype=float32), array([ 0.99302506,  0.22927132, -1.2428192 ], dtype=float32), array([0.57283074, 0.34842387, 0.07874538], dtype=float32), 84.94086, array(85., dtype=float32), 0.059143066]
[None, array([90., 80., 70.], dtype=float32), array([ 0.81620765,  0.39573446, -1.0579978 ], dtype=float32), array([0.61502546, 0.31113088, 0.07384364], dtype=float32), 85.41181, array(85., dtype=float32), 0.41181183]
[None, array([90., 80., 70.], dtype=float32), array([ 0.99942106,  0.22976042, -1.2572708 ], dtype=float32), array([0.57491535, 0.34782225, 0.07726236], dtype=float32), 84.976524, array(85., dtype=float32), 0.023475647]
[None, array([90., 80., 70.], dtype=float32), array([ 0.82307136,  0.39695585, -1.0744787 ], dtype=float32), array([0.617129  , 0.3103777 , 0.07249327], dtype=float32), 85.44636, array(85., dtype=float32), 0.44635773]
[None, array([90., 80., 70.], dtype=float32), array([ 0.74499  ,  0.5039607, -1.0357631], dtype=float32), array([0.57709587, 0.3470598 , 0.07584433], dtype=float32), 85.01252, array(85., dtype=float32), 0.012519836]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9284439,  0.3376974, -1.2348273], dtype=float32), array([0.5339216 , 0.38727897, 0.07879947], dtype=float32), 84.55122, array(85., dtype=float32), 0.44877625]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7491714,  0.5082843, -1.0502083], dtype=float32), array([0.5775855 , 0.34776807, 0.07464647], dtype=float32), 85.02939, array(85., dtype=float32), 0.029388428]
[None, array([90., 80., 70.], dtype=float32), array([ 0.93174076,  0.3420263 , -1.2474879 ], dtype=float32), array([0.5345988 , 0.38786492, 0.07753624], dtype=float32), 84.570625, array(85., dtype=float32), 0.4293747]
[None, array([90., 80., 70.], dtype=float32), array([ 0.75319314,  0.51237446, -1.064125  ], dtype=float32), array([0.5781444 , 0.3483778 , 0.07347782], dtype=float32), 85.04666, array(85., dtype=float32), 0.046661377]
[None, array([90., 80., 70.], dtype=float32), array([ 0.93518096,  0.34605563, -1.2602719 ], dtype=float32), array([0.53528935, 0.38839403, 0.07631662], dtype=float32), 84.58972, array(85., dtype=float32), 0.41027832]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7571347,  0.5162473, -1.0777307], dtype=float32), array([0.5787649 , 0.34890214, 0.07233297], dtype=float32), 85.06432, array(85., dtype=float32), 0.064323425]
[None, array([90., 80., 70.], dtype=float32), array([ 0.938735  ,  0.34981933, -1.273156  ], dtype=float32), array([0.5360061 , 0.38886407, 0.07512987], dtype=float32), 84.608765, array(85., dtype=float32), 0.39123535]
[None, array([90., 80., 70.], dtype=float32), array([ 0.76104623,  0.51990926, -1.0911613 ], dtype=float32), array([0.57944274, 0.34934884, 0.07120839], dtype=float32), 85.08234, array(85., dtype=float32), 0.082336426]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9423857 ,  0.35333955, -1.2861271 ], dtype=float32), array([0.53675777, 0.38927296, 0.07396933], dtype=float32), 84.62789, array(85., dtype=float32), 0.37210846]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7649628,  0.5233652, -1.1045026], dtype=float32), array([0.5801756 , 0.34972268, 0.0701017 ], dtype=float32), 85.10074, array(85., dtype=float32), 0.100738525]
[None, array([90., 80., 70.], dtype=float32), array([ 0.946124 ,  0.3566311, -1.2991774], dtype=float32), array([0.5375507 , 0.38961872, 0.07283059], dtype=float32), 84.6472, array(85., dtype=float32), 0.35279846]
[None, array([90., 80., 70.], dtype=float32), array([ 0.76890737,  0.526616  , -1.1178102 ], dtype=float32), array([0.5809624 , 0.3500263 , 0.06901128], dtype=float32), 85.119514, array(85., dtype=float32), 0.119514465]
[None, array([90., 80., 70.], dtype=float32), array([ 0.94994473,  0.35970214, -1.3123033 ], dtype=float32), array([0.5383896 , 0.38989958, 0.07171078], dtype=float32), 84.66679, array(85., dtype=float32), 0.3332138]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7728971 ,  0.52966213, -1.131121  ], dtype=float32), array([0.58180314, 0.3502609 , 0.0679359 ], dtype=float32), 85.13867, array(85., dtype=float32), 0.13867188]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9538459 ,  0.36255735, -1.3255031 ], dtype=float32), array([0.5392782 , 0.3901138 , 0.07060798], dtype=float32), 84.6867, array(85., dtype=float32), 0.3133011]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7769432 ,  0.53250146, -1.1444595 ], dtype=float32), array([0.58269835, 0.3504269 , 0.06687474], dtype=float32), 85.15823, array(85., dtype=float32), 0.15823364]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9578278,  0.3651993, -1.3387765], dtype=float32), array([0.5402195 , 0.39025968, 0.06952079], dtype=float32), 84.706985, array(85., dtype=float32), 0.29301453]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7810548 ,  0.53513217, -1.1578424 ], dtype=float32), array([0.5836488 , 0.35052398, 0.06582714], dtype=float32), 85.178215, array(85., dtype=float32), 0.17821503]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9618917 ,  0.36762863, -1.3521241 ], dtype=float32), array([0.54121614, 0.39033565, 0.06844825], dtype=float32), 84.727684, array(85., dtype=float32), 0.27231598]
[None, array([90., 80., 70.], dtype=float32), array([ 0.78524   ,  0.53755295, -1.1712815 ], dtype=float32), array([0.5846559 , 0.3505516 , 0.06479251], dtype=float32), 85.19864, array(85., dtype=float32), 0.19863892]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9660407,  0.3698457, -1.3655472], dtype=float32), array([0.54227036, 0.39034   , 0.06738959], dtype=float32), 84.7488, array(85., dtype=float32), 0.25119781]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7895053 ,  0.53976166, -1.1847851 ], dtype=float32), array([0.58572084, 0.35050878, 0.06377038], dtype=float32), 85.219505, array(85., dtype=float32), 0.21950531]
[None, array([90., 80., 70.], dtype=float32), array([ 0.9702781,  0.3718496, -1.379047 ], dtype=float32), array([0.54338455, 0.3902713 , 0.06634411], dtype=float32), 84.7704, array(85., dtype=float32), 0.229599]
[None, array([90., 80., 70.], dtype=float32), array([ 0.79385674,  0.54175615, -1.1983595 ], dtype=float32), array([0.5868453 , 0.35039443, 0.06276034], dtype=float32), 85.24085, array(85., dtype=float32), 0.24085236]
[None, array([90., 80., 70.], dtype=float32), array([ 0.97460693,  0.37363803, -1.3926258 ], dtype=float32), array([0.54456073, 0.39012778, 0.06531142], dtype=float32), 84.79249, array(85., dtype=float32), 0.2075119]
[None, array([90., 80., 70.], dtype=float32), array([ 0.7982987,  0.5435328, -1.2120103], dtype=float32), array([0.58803076, 0.35020727, 0.061762  ], dtype=float32), 85.26269, array(85., dtype=float32), 0.26268768]
